wid,loc,wcityid,name,address,country
FRNCEFRAVY,"{""lat"": 43.6698336, ""lng"": 7.21468449999998}",FRNCE,139 Boulevard René Cassin,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06200"", ""country"": ""FR"", ""street1"": ""139 Boulevard René Cassin""}",FR
FRNCEFROBS2,"{""lat"": 43.70848, ""lng"": 7.285966}",FRNCE,14 Avenue des Diables Bleus,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06300"", ""country"": ""FR"", ""street1"": ""14 Avenue des Diables Bleus""}",FR
FRNCEDEFLX2,"{""lat"": 43.667837, ""lng"": 7.20938}",FRNCE,175 Boulevard René Cassin,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06200"", ""country"": ""FR"", ""street1"": ""175 Boulevard René Cassin""}",FR
FRNCEDEDBT5,"{""lat"": 43.703201, ""lng"": 7.26018}",FRNCE,21 Avenue Thiers,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06000"", ""country"": ""FR"", ""street1"": ""21 Avenue Thiers""}",FR
FRNCEFROBS3,"{""lat"": 43.69893483, ""lng"": 7.284973394}",FRNCE,244 Rue Pacho,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06300"", ""country"": ""FR"", ""street1"": ""244 Rue Pacho""}",FR
FRNCENCE,"{""lat"": 43.6602310616, ""lng"": 7.204857408}",FRNCE,Aéroport De Nice Côte d'Azur,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06200"", ""country"": ""FR"", ""street1"": ""Aéroport De Nice Côte d'Azur - Terminal 2""}",FR
FRNCEDEDBT,"{""lat"": 43.6963674, ""lng"": 7.2701938}",FRNCE,Place Massena,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06300"", ""country"": ""FR"", ""street1"": ""Place Massena""}",FR
FRNCEDEDBT2,"{""lat"": 43.70313, ""lng"": 7.26608}",FRNCE,Rue d'Italie,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06000"", ""country"": ""FR"", ""street1"": ""Rue d'Italie""}",FR
FRNCEPLSBD,"{""lat"": 43.7036571, ""lng"": 7.26187210000001}",FRNCE,Ville Central Station,"{""city"": ""Nice"", ""state"": """", ""postal"": ""06000"", ""country"": ""FR"", ""street1"": ""23 Rue de Belgique""}",FR
FRPRSFRLBD102,"{""lat"": 48.863204, ""lng"": 2.286502}",FRPRS,10 Place du Trocadéro et du 11 Novembre,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75016"", ""country"": ""FR"", ""street1"": ""10 Place du Trocadéro et du 11 Novembre""}",FR
FRPRSDEFLX8,"{""lat"": 48.891887, ""lng"": 2.316462}",FRPRS,10 Rue Bernard Buffet,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75017"", ""country"": ""FR"", ""street1"": ""10 Rue Bernard Buffet""}",FR
FRPRSDEFLX4,"{""lat"": 48.836991, ""lng"": 2.379057}",FRPRS,208 Quai de Bercy,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75012"", ""country"": ""FR"", ""street1"": ""208 Quai de Bercy""}",FR
FRPRSDEFLX9,"{""lat"": 48.831073, ""lng"": 2.398838}",FRPRS,2 Avenue de la Porte de Charenton,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75012"", ""country"": ""FR"", ""street1"": ""2 Avenue de la Porte de Charenton""}",FR
FRPRSDEFLX12,"{""lat"": 48.830306, ""lng"": 2.376334}",FRPRS,4-6 Rue De Tolbiac,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75013"", ""country"": ""FR"", ""street1"": ""4-6 Rue De Tolbiac""}",FR
FRPRSFROBS12,"{""lat"": 48.8819817976, ""lng"": 2.2833222131}",FRPRS,8 Boulevard d'Aurelle de Paladines,"{""city"": ""Paris"", ""state"": """", ""postal"": ""75017"", ""country"": ""FR"", ""street1"": ""8 Boulevard d'Aurelle de Paladines""}",FR
